name,latitude,longitude,local_time
Greenhouse Temperature Sensor, 52.3749, -0.1278, 2024-03-27 15:54:10  
Coop Temperature Sensor, 48.8566, 2.3522, 2024-03-27 15:54:10  
Barn Temperature Sensor, 40.7128, -74.0059, 2024-03-27 15:54:10  
Vineyard Irrigation, 34.0522, -118.2437, 2024-03-27 15:54:10  
Windmill Controller, 51.1841, -1.8606, 2024-03-27 15:54:10  
Rice Paddy Water Management, 31.1466, 121.4737, 2024-03-27 15:54:10  
Cattle Shed Temperature Sensor, -34.9288, 138.6000, 2024-03-27 15:54:10  
Chicken Coop Temperature Sensor, 50.8500, 4.3500, 2024-03-27 15:54:10  
Olivine Grove Irrigation, 38.0902, 27.1475, 2024-03-27 15:54:10  
Sheep Farm Shelter, 45.5188, -111.0407, 2024-03-27 15:54:10
